method,declared_path,router_symbol,backend_module,command_center_mapping,authorization_evidence,test_evidence
GET,/admin,router,dependencies.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/sessions,router,dependencies.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/events/{event_id}/sessions,router,dependencies.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/health,app,main.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/ready,app,main.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/login,router,middleware/rate_limit.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/conversations,router,modules/ai/routers/ai.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/conversations/{conversation_id}/messages,router,modules/ai/routers/ai.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/conversations/{conversation_id}/messages,router,modules/ai/routers/ai.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/index,router,modules/ai/routers/ai.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/usage,router,modules/ai/routers/ai.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/dashboard,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/funnel,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/sessions,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/rooms,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/activity,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/approval-times,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/formats,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/rooms/breakdown,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/exports,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/exports/{export_id},router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/exports/{export_id}/download,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/export,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/summary,global_router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/main-dashboard,router,modules/analytics/routers/analytics.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/summary,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/registrations/timeline,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/roles-breakdown,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/pending-actions,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/recent-activity,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/deadlines,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/superadmin/overview,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/superadmin/mrr-history,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/superadmin/activity-feed,router,modules/analytics/routers/dashboard.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/worker-logs,router,modules/audit/routers/audit.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/security-logs,router,modules/audit/routers/audit.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/system-changes,router,modules/audit/routers/audit.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/my-activity,router,modules/audit/routers/audit.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/events/{event_id}/activate,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/events/{event_id}/activation,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/organizations/{org_id}/activations,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/events/{event_id}/deactivate,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
POST,/events/{event_id}/transfer,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/events/{event_id}/entitlements,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
GET,/events/{event_id}/usage,router,modules/billing/routers/activations.py,REQUIRES_ROUTE_MAPPING,REQUIRES_VERIFICATION,REQUIRES_VERIFICATION
